desc,link
Skinny Fit Flat-Front Chinos,https://www.ajio.com/club-chino-skinny-fit-flat-front-chinos/p/420425813_olive
Flat-Front Trousers with Slip Pockets,https://www.ajio.com/u-s-polo-assn-flat-front-trousers-with-slip-pockets/p/469191998_khaki
Flat-Front Trousers with Insert Pockets,https://www.ajio.com/ivoc-flat-front-trousers-with-insert-pockets/p/465306185_white
Fastdry Active Essential Shorts,https://www.ajio.com/performax-fastdry-active-essential-shorts/p/440672489_teal
Fastdry Active Essential Shorts,https://www.ajio.com/performax-fastdry-active-essential-shorts/p/440672489_olive
Fastdry Active Essential Shorts,https://www.ajio.com/performax-fastdry-active-essential-shorts/p/440672489_black
Fastdry Running Shorts,https://www.ajio.com/performax-fastdry-running-shorts/p/443000187_jetblack
Fastdry Active Essential Shorts,https://www.ajio.com/performax-fastdry-active-essential-shorts/p/441149341_jetblack
Panelled Tennis Shorts,https://www.ajio.com/performax-panelled-tennis-shorts/p/441148166_tintblue
Geometric Print Flat-Front Shorts,https://www.ajio.com/teamspirit-geometric-print-flat-front-shorts/p/441142478_offwhite
Cotton Shorts with Insert Pockets,https://www.ajio.com/bare-cotton-shorts-with-insert-pockets/p/441184667_blue
Solid Regular Fit Shorts,https://www.ajio.com/ardeur-solid-regular-fit-shorts/p/463810814_black
Fastdry Running Active Essential Shorts,https://www.ajio.com/performax-fastdry-running-active-essential-shorts/p/440672491_navy
Shorts with Drawstring Waistline,https://www.ajio.com/teamspirit-shorts-with-drawstring-waistline/p/441142481_charcoal
Striped Mid-Rise Shorts,https://www.ajio.com/teamspirit-striped-mid-rise-shorts/p/441142484_greymelange
Typographic Print Slim Fit Knit Shorts,https://www.ajio.com/mvmt-typographic-print-slim-fit-knit-shorts/p/420366821_black
Pack of 3 Shorts,https://www.ajio.com/ardeur-pack-of-3-shorts/p/462376751_multi
Heathered Bermudas with Contrast Taping,https://www.ajio.com/teamspirit-heathered-bermudas-with-contrast-taping/p/441142480_ecru
Mid-Rise Textured Shorts,https://www.ajio.com/ardeur-mid-rise-textured-shorts/p/461346305_navy
Fastdry Active Essential Shorts,https://www.ajio.com/performax-fastdry-active-essential-shorts/p/440672489_navy
Solid Slim Fit Shorts,https://www.ajio.com/breakbounce-solid-slim-fit-shorts/p/461182407_green
Mid-Rise Shorts with Insert Pockets,https://www.ajio.com/performax-mid-rise-shorts-with-insert-pockets/p/440672491_white
Printed Shorts with Insert Pockets,https://www.ajio.com/teamspirit-printed-shorts-with-insert-pockets/p/441142483_blue
Slim Fit Cargo Shorts with Drawstring Waist,https://www.ajio.com/dnmx-slim-fit-cargo-shorts-with-drawstring-waist/p/441144221_khaki
